rowInd,seqIDInd,seqID
96,96,Blank
4,4,Seq55
82,82,Seq57
81,81,Seq58
92,92,Seq48
86,86,Seq56
94,94,Seq53
1,1,Ref
32,32,Seq5
55,55,Seq27
20,20,Seq74
17,17,Seq85
15,15,Seq79
25,25,Seq83
11,11,Seq93
28,28,Seq91
27,27,Seq77
66,66,Seq25
54,54,Seq28
63,63,Seq39
68,68,Seq24
77,77,Seq41
71,71,Seq43
58,58,Seq38
69,69,Seq42
65,65,Seq45
59,59,Seq46
60,60,Seq37
70,70,Seq30
72,72,Seq35
56,56,Seq47
76,76,Seq33
75,75,Seq44
64,64,Seq34
73,73,Seq32
57,57,Seq36
62,62,Seq29
74,74,Seq40
61,61,Seq31
52,52,Seq12
31,31,Seq4
42,42,Seq2
51,51,Seq13
50,50,Seq8
53,53,Seq9
37,37,Seq15
45,45,Seq21
41,41,Seq7
48,48,Seq16
40,40,Seq14
33,33,Seq23
39,39,Seq17
34,34,Seq10
46,46,Seq6
38,38,Seq11
49,49,Seq19
47,47,Seq18
35,35,Seq20
36,36,Seq22
10,10,Seq94
78,78,Seq51
90,90,Seq49
79,79,Seq52
6,6,Seq69
93,93,Seq60
80,80,Seq71
2,2,Seq68
88,88,Seq61
7,7,Seq67
84,84,Seq70
83,83,Seq62
3,3,Seq59
5,5,Seq64
95,95,Seq63
85,85,Seq65
87,87,Seq66
89,89,Seq54
43,43,Seq3
67,67,Seq26
9,9,Seq76
44,44,Seq1
16,16,Seq89
23,23,Seq86
24,24,Seq90
12,12,Seq78
8,8,Seq75
91,91,Seq50
21,21,Seq72
19,19,Seq73
22,22,Seq81
26,26,Seq88
29,29,Seq82
30,30,Seq92
13,13,Seq84
18,18,Seq80
14,14,Seq87
